timeSeconds,utc,satelliteLongitudeDeg,satelliteLatitudeDeg,satelliteAltitudeM,satelliteEcefXM,satelliteEcefYM,satelliteEcefZM,beamCenterLongitudeDeg,beamCenterLatitudeDeg,beamCenterAltitudeM,coverageAreaM2,coverageVertexCount
0,2026-07-15T00:00:00.000Z,67.13790391851217,0,650000,2730532.8268275573,6476025.028702877,0,67.13790391851217,0,9.313225746154785e-10,5810371469.979315,96
16.288039268443235,2026-07-15T00:00:16.288Z,67.64346703078631,0.8241445563599545,650004.3899541358,2673011.307026503,6499201.868132458,100475.47233544047,68.51578474487442,0.3174731620290489,0,6020940598.656565,96
32.57607853688647,2026-07-15T00:00:32.576Z,68.14926452739246,1.6482023406955877,650017.5544202384,2614732.2304091617,6520545.688165787,200920.33886867983,68.54337514081888,1.42003811584939,9.313225746154785e-10,5853422894.084112,96
48.864117805329705,2026-07-15T00:00:48.864Z,68.65553158512938,2.4720864618224203,650039.4772161841,2555708.8692032616,6540051.816640939,301304.00312034076,68.18417382454366,2.7476015637187476,-9.313225746154785e-10,5872577773.534397,96
65.15215707377294,2026-07-15T00:01:05.152Z,69.16250328971897,3.2957097899085115,650070.1313944682,2495954.787087205,6557716.076114172,401595.8872538538,68.36754229311045,3.7597142968089474,-9.313225746154785e-10,5986480092.561078,96
81.44019634221617,2026-07-15T00:01:21.440Z,69.6704162680365,4.118984836332111,650109.4792761952,2435483.683453388,6573534.845136843,501765.44138976256,69.74681313305639,4.077065434449969,-9.313225746154785e-10,5813872356.333982,96
97.72823561065941,2026-07-15T00:01:37.728Z,70.17950763643918,4.941823632554856,650157.4724986302,2374309.5440265047,6587504.999645225,601782.1529115132,71.13252286377559,4.388644818051078,-2.7939677238464355e-9,6063069788.049204,96
114.01627487910265,2026-07-15T00:01:54.016Z,70.69001664020999,5.76413760767886,650214.0520761935,2312446.4836406456,6599623.971332211,701615.5557598922,71.00831166675165,5.58200320371798,0,5841645283.818061,96
130.30431414754588,2026-07-15T00:02:10.304Z,71.2021837685929,6.585837464353091,650279.1484748656,2249908.878616195,6609889.697970354,801235.2397132843,70.65128960472838,6.910838362811156,0,5899185554.404738,96
146.59235341598912,2026-07-15T00:02:26.592Z,71.71625155998511,7.406833052690702,650352.6816998487,2186711.3054566802,6618300.645697185,900610.8596509198,70.99612597885039,7.831035943287457,0,5959485618.208867,96
162.88039268443234,2026-07-15T00:02:42.880Z,72.23246540213394,8.227033241854622,650434.5613964088,2122868.479751888,6624855.827562717,999712.144796292,72.38604634870568,8.142231281528884,-9.313225746154785e-10,5824327681.015525,96
179.16843195287558,2026-07-15T00:02:59.168Z,72.75107266149874,9.04634578896375,650524.6869637268,2058395.3884222654,6629554.758418695,1098508.9079379304,73.78886741999776,8.441775988522734,-9.313225746154785e-10,6112976038.150612,96
195.45647122131882,2026-07-15T00:03:15.456Z,73.27232432974674,9.864677204966322,650622.9476816086,1993307.1314715699,6632397.505034222,1196971.0546247165,73.51536724057542,9.728044712957404,-9.313225746154785e-10,5837075455.262108,96
211.74451048976204,2026-07-15T00:03:31.744Z,73.79647399131657,10.681932617120939,650729.2228498962,1927619.0737475052,6633384.636702939,1295068.5923329443,73.16293290797623,11.059416389075063,-9.313225746154785e-10,5933226842.991191,96
228.0325497582053,2026-07-15T00:03:48.032Z,74.3237794766831,11.49801562771892,650843.3819403592,1861346.686357644,6632517.272037355,1392771.639602337,73.67683602135614,11.884351371302508,0,5939663513.471509,96
244.32058902664852,2026-07-15T00:04:04.320Z,74.85450183708467,12.312828168674478,650965.2847608794,1794505.6984476945,6629797.032319478,1490050.4351382246,75.08680792652937,12.183194613728498,0,5841596633.714217,96
260.60862829509176,2026-07-15T00:04:20.608Z,75.38890700526456,13.126270351601798,651094.7816316932,1727111.9384570753,6625226.084918284,1586875.3468771263,76.4475309988146,12.505323756244037,0,6129989660.872582,96
276.896667563535,2026-07-15T00:04:36.896Z,75.92726494599651,13.93824031299008,651231.7135734605,1659181.4663245843,6618807.104308676,1683216.8810129631,76.09476338573207,13.847381498414613,9.313225746154785e-10,5839453459.41788,96
293.18470683197825,2026-07-15T00:04:53.184Z,76.4698504841098,14.748634054079904,651375.9125068868,1590730.5118566588,6610543.287719901,1779045.6909811546,75.74980588850117,15.182536151180583,0,5974588314.161814,96
309.4727461004215,2026-07-15T00:05:09.472Z,77.016944143835,15.557345275036326,651527.201463623,1521775.412469866,6600438.367285785,1874332.5863978711,76.44242517542524,15.906838388002624,-1.862645149230957e-9,5926634697.682606,96
325.7607853688647,2026-07-15T00:05:25.760Z,77.56883130340907,16.364265203006084,651685.3948081918,1452332.7456751396,6588496.575550949,1969048.5419517031,77.8820807598648,16.18682003985469,0,5865448497.220624,96
342.048824637308,2026-07-15T00:05:42.048Z,78.12580388222253,17.169282413639458,651850.2984705949,1382419.1698444784,6574722.680426929,2063164.7062450557,79.11428425488475,16.584348890542643,0,6098889775.170255,96
358.33686390575116,2026-07-15T00:05:58.336Z,78.68815933407693,17.97228264564998,652021.710189308,1312051.5755660194,6559121.948382433,2156652.4105825596,78.7790054651417,17.928302453781086,0,5848434447.685038,96
374.6249031741944,2026-07-15T00:06:14.624Z,79.25620234033896,18.773148607979895,652199.4197643334,1241246.926869148,6541700.175836121,2249483.17770384,78.4451900381312,19.268446889207997,-9.313225746154785e-10,6023066100.655978,96
390.91294244263764,2026-07-15T00:06:30.912Z,79.83024397677383,19.571759779134144,652383.2093199678,1170022.3926397432,6522463.658786029,2341628.7304579588,79.3282947670045,19.884521698670312,-9.313225746154785e-10,5919942480.031647,96
407.20098171108094,2026-07-15T00:06:47.200Z,80.41060256757055,20.367992198243037,652572.8535769256,1098395.2844275762,6501419.203386789,2433061.000416913,80.80754901330506,20.13865813994413,0,5895568562.199007,96
423.48902097952407,2026-07-15T00:07:03.489Z,80.99760033737772,21.161718247412534,652768.1201334652,1026383.4703729386,6478574.0573371295,2523752.136425549,81.91695673735842,20.61091178936044,9.313225746154785e-10,6074653149.526068,96
439.77706024796737,2026-07-15T00:07:19.777Z,81.59157939012108,21.952806424922702,652968.7697551437,954003.6024765458,6453936.190951932,2613674.513085294,81.60393399238059,21.957702940065914,9.313225746154785e-10,5863596330.715685,96
456.0650995164106,2026-07-15T00:07:36.065Z,82.1928781886247,22.741121108839717,653174.5566727817,881273.8162119256,6427513.8518695645,2702800.7391691203,81.2860694198681,23.3039660899513,0,6078371490.091803,96
472.35313878485385,2026-07-15T00:07:52.353Z,82.80184752824633,23.52652231061525,653385.2288883124,808211.9537452066,6399315.858310803,2791103.6659651757,82.37349440566648,23.80172398943953,9.313225746154785e-10,5919062449.155108,96
488.64117805329704,2026-07-15T00:08:08.641Z,83.41884717800933,24.30886541826058,653600.528488013,734835.9791500794,6369351.525247574,2878556.3955465504,83.9025352459044,24.02238352793622,0,5931566330.658158,96
504.9292173217403,2026-07-15T00:08:24.929Z,84.04424671692011,25.08800092870099,653820.1919628223,661163.9181514357,6337630.667137599,2965132.28896464,84.89429889455516,24.57017563933589,9.313225746154785e-10,6056627758.086678,96
521.2172565901835,2026-07-15T00:08:41.217Z,84.67842467464577,25.863774168942093,654043.9505352089,587213.9850728672,6304163.579326126,3050804.9743636292,84.60987448633107,25.920523396995755,9.313225746154785e-10,5884449439.434561,96
537.5052958586267,2026-07-15T00:08:57.505Z,85.3217701878453,26.636025005712355,654271.5304922499,513004.42896450125,6268961.051083602,3135548.3550136155,84.3143850037752,27.27389126363211,9.313225746154785e-10,6140138918.416223,96
553.79333512707,2026-07-15T00:09:13.793Z,85.97468194310859,27.404587543288486,654502.6535244519,438553.6779620275,6232034.347392864,3219336.6172599266,85.62176044618762,27.640408140704544,0,5923414277.966704,96
570.0813743955133,2026-07-15T00:09:30.081Z,86.63756979682574,28.169289809263375,654737.0370698664,363880.1869078721,6193395.218233507,3302144.238386206,87.21092874386459,27.81912417493634,-9.313225746154785e-10,5972985916.135416,96
586.3694136639565,2026-07-15T00:09:46.369Z,87.31085367330708,28.929953428081536,654974.3946630862,289002.579973856,6153055.88359125,3383945.994388883,88.09017067703854,28.444762885780094,0,6044119000.690703,96
602.6574529323997,2026-07-15T00:10:02.657Z,87.99496513029406,29.68639328224651,655214.4362886287,213939.499942624,6111029.038970253,3464716.9676606474,87.84280273936575,29.799054346958265,9.313225746154785e-10,5910448061.011568,96
618.945492200843,2026-07-15T00:10:18.945Z,88.69034635997726,30.438417161200977,655456.8687383197,138709.73113503214,6067327.84405843,3544432.5545805967,87.57833865192539,31.16026383440924,0,6207936214.355709,96
635.2335314692863,2026-07-15T00:10:35.233Z,89.397450836493,31.185825397995032,655701.3959721494,63332.13952324586,6021965.92241791,3623068.4730087323,89.12244555774473,31.379379505677708,-9.313225746154785e-10,5932375238.342271,96
651.5215707377293,2026-07-15T00:10:51.521Z,90.11674390660859,31.928410493994964,655947.7194822133,-12174.38413318526,5974957.357049923,3700600.769682535,90.78193032260025,31.506656664101275,9.313225746154785e-10,6019318504.058529,96
667.8096100061726,2026-07-15T00:11:07.809Z,90.84870164920318,32.66595673204569,656195.5386592206,-87790.80552844703,5926316.684430872,3777005.8275133693,91.55457665018935,32.21394734567532,0,6036404069.5676155,96
684.097649274616,2026-07-15T00:11:24.097Z,91.59381218199822,33.39823977868863,656444.5511611402,-163498.09188244538,5876058.8905341225,3852260.3727804665,91.35551605637175,33.57207030963777,9.313225746154785e-10,5941003680.777805,96
700.3856885430591,2026-07-15T00:11:40.385Z,92.35257420892145,34.12502627625684,656694.4532835372,-239277.07739380514,5824199.407300436,3926341.482220329,91.18189375890275,34.91036624228563,0,6254522562.803856,96
716.6737278115023,2026-07-15T00:11:56.673Z,93.12549816108529,34.84607342592408,656944.9403310996,-315108.60609772755,5770754.104871744,3999226.5900093834,92.93123079743818,34.993323973147525,-9.313225746154785e-10,5945295173.094944,96
732.9617670799456,2026-07-15T00:12:12.961Z,93.91310472241221,35.56112856307753,657195.7069899188,-390973.4165010662,5715739.290212123,4070893.4946377436,94.67046907110556,35.058453764981756,0,6070016682.009059,96
749.2498063483888,2026-07-15T00:12:29.249Z,94.71592491366835,36.269928726720465,657446.4477000972,-466852.1982219028,5659171.7012876235,4141320.3656720063,95.34442032070386,35.852666827606065,9.313225746154785e-10,6032747371.86349,96
765.5378456168321,2026-07-15T00:12:45.537Z,95.53450005350005,36.972200224995156,657696.857028137,-542725.6465427624,5601068.497080719,4210485.7504050145,95.20852995510144,37.21376073284056,9.313225746154785e-10,5975499711.17369,96
781.8258848852753,2026-07-15T00:13:01.825Z,96.36937988435149,37.667658199350036,657946.6300387662,-618574.350557955,5541447.261675211,4278368.580390557,95.27610381210283,38.43560399752423,-9.313225746154785e-10,6232199029.38257,96
798.1139241537185,2026-07-15T00:13:18.113Z,97.22112305944756,38.35600619036617,658195.4626656706,-694378.9303300171,5480325.986981513,4344948.177861026,97.11019124703593,38.45167949585469,-9.313225746154785e-10,5961512620.29385,96
